date,campaign,adgroup,ad,impressions,clicks,cost,conversions,revenue
01-08-2020,campaign 1,adgroup 1,ad 1,24,6,0.08,0,0
01-08-2020,campaign 1,adgroup 2,ad 1,1,0,0,0,0
01-08-2020,campaign 1,adgroup 3,ad 1,13,4,0.04,0,0
01-08-2020,campaign 1,adgroup 4,ad 1,5,4,0.08,0,0
01-08-2020,campaign 1,adgroup 1,ad 2,247,126,1.29,4,925.71
01-08-2020,campaign 1,adgroup 2,ad 2,7,2,0.04,0,0
01-08-2020,campaign 1,adgroup 4,ad 2,6,3,0.05,0,0
01-08-2020,campaign 1,adgroup 1,ad 3,129,52,0.58,0,0
01-08-2020,campaign 1,adgroup 3,ad 3,104,56,0.56,0,0
01-08-2020,campaign 1,adgroup 4,ad 3,6,5,0.05,0,0
01-08-2020,campaign 1,adgroup 2,ad 3,4,0,0,0,0
01-08-2020,campaign 1,adgroup 3,ad 4,39,16,0.22,0,0
01-08-2020,campaign 1,adgroup 3,ad 5,17,6,0.06,0,0
01-08-2020,campaign 1,adgroup 3,ad 6,253,128,1.32,2,339.83
01-08-2020,campaign 1,adgroup 3,ad 7,16,6,0.07,0,0
01-08-2020,campaign 1,adgroup 1,ad 7,26,10,0.1,0,0
01-08-2020,campaign 1,adgroup 2,ad 7,5,2,0.04,0,0
01-08-2020,campaign 1,adgroup 3,ad 8,250,114,1.17,3,384.22
01-08-2020,campaign 1,adgroup 3,ad 9,261,123,1.27,4,337.57
01-08-2020,campaign 1,adgroup 2,ad 9,5,0,0,0,0
01-08-2020,campaign 1,adgroup 1,ad 9,329,130,1.4,3,397.59
01-08-2020,campaign 1,adgroup 4,ad 9,2,2,0.02,0,0
01-08-2020,campaign 1,adgroup 1,ad 10,5,2,0.02,0,0
02-08-2020,campaign 1,adgroup 1,ad 1,21,8,0.09,0,0
02-08-2020,campaign 1,adgroup 3,ad 1,21,16,0.18,0,0
02-08-2020,campaign 1,adgroup 4,ad 1,6,2,0.02,0,0
02-08-2020,campaign 1,adgroup 1,ad 2,197,112,1.18,9,1476.67
02-08-2020,campaign 1,adgroup 4,ad 2,11,5,0.05,0,0
02-08-2020,campaign 1,adgroup 2,ad 2,4,1,0.01,0,0
